Category,Jenn Mike Category,,,Period
,,,,2050-08
,,,,2050-09
,,,,2050-10
,,,,2050-11
,,,,2050-12
,,,,2051-01
,,,,2051-02
,,,,2051-03
,,,,2051-04
,,,,2051-05
,,,,2051-06
,,,,2051-07
,,,,2051-08
,,,,2051-09
,,,,2051-10
,,,,2051-11
,,,,2051-12
,,,,2052-01
,,,,2052-02
,,,,2052-03
,,,,2052-04
,,,,2052-05
,,,,2052-06
,,,,2052-07
,,,,2052-08
,,,,2052-09
,,,,2052-10
,,,,2052-11
,,,,2052-12
,,,,2053-01
,,,,2053-02
,,,,2053-03
,,,,2053-04
,,,,2053-05
,,,,2053-06
,,,,2053-07
,,,,2053-08
,,,,2053-09
,,,,2053-10
,,,,2053-11
,,,,2053-12
,,,,2054-01
,,,,2054-02
,,,,2054-03
,,,,2054-04
,,,,2054-05
,,,,2054-06
,,,,2054-07
,,,,2054-08
,,,,2054-09
,,,,2054-10
,,,,2054-11
,,,,2054-12
,,,,2055-01
,,,,2055-02
,,,,2055-03
,,,,2055-04
,,,,2055-05
,,,,2055-06
,,,,2055-07
,,,,2055-08
,,,,2055-09
,,,,2055-10
,,,,2055-11
,,,,2055-12
,,,,2056-01
,,,,2056-02
,,,,2056-03
,,,,2056-04
,,,,2056-05
,,,,2056-06
,,,,2056-07
,,,,2056-08
,,,,2056-09
,,,,2056-10
,,,,2056-11
,,,,2056-12
,,,,2057-01
,,,,2057-02
,,,,2057-03
,,,,2057-04
,,,,2057-05
,,,,2057-06
,,,,2057-07
,,,,2057-08
,,,,2057-09
,,,,2057-10
,,,,2057-11
,,,,2057-12
,,,,2058-01
,,,,2058-02
,,,,2058-03
,,,,2058-04
,,,,2058-05
,,,,2058-06
,,,,2058-07
,,,,2058-08
,,,,2058-09
,,,,2058-10
,,,,2058-11
,,,,2058-12
,,,,2059-01
,,,,2059-02
,,,,2059-03
,,,,2059-04
,,,,2059-05
,,,,2059-06
,,,,2059-07
,,,,2059-08
,,,,2059-09
,,,,2059-10
,,,,2059-11
,,,,2059-12
,,,,2060-01
,,,,2060-02
,,,,2060-03
,,,,2060-04
,,,,2060-05
,,,,2060-06
,,,,2060-07
,,,,2060-08
,,,,2060-09
,,,,2060-10
,,,,2060-11
,,,,2060-12
,,,,2061-01
,,,,2061-02
,,,,2061-03
,,,,2061-04
,,,,2061-05
,,,,2061-06
,,,,2061-07
,,,,2061-08
,,,,2061-09
,,,,2061-10
,,,,2061-11
,,,,2061-12
,,,,2062-01
,,,,2062-02
,,,,2062-03
,,,,2062-04
,,,,2062-05
,,,,2062-06
,,,,2062-07
,,,,2062-08
,,,,2062-09
,,,,2062-10
,,,,2062-11
,,,,2062-12
,,,,2063-01
,,,,2063-02
,,,,2063-03
,,,,2063-04
,,,,2063-05
,,,,2063-06
,,,,2063-07
,,,,2063-08
,,,,2063-09
,,,,2063-10
,,,,2063-11
,,,,2063-12
,,,,2064-01
,,,,2064-02
,,,,2064-03
,,,,2064-04
,,,,2064-05
,,,,2064-06
,,,,2064-07
,,,,2064-08
,,,,2064-09
,,,,2064-10
,,,,2064-11
,,,,2064-12
,,,,2065-01
,,,,2065-02
,,,,2065-03
,,,,2065-04
,,,,2065-05
,,,,2065-06
,,,,2065-07
,,,,2065-08
,,,,2065-09
,,,,2065-10
,,,,2065-11
,,,,2065-12
,,,,2066-01
,,,,2066-02
,,,,2066-03
,,,,2066-04
,,,,2066-05
,,,,2066-06
,,,,2066-07
,,,,2066-08
,,,,2066-09
,,,,2066-10
,,,,2066-11
,,,,2066-12
,,,,2067-01
,,,,2067-02
,,,,2067-03
,,,,2067-04
,,,,2067-05
,,,,2067-06
,,,,2067-07
,,,,2067-08
,,,,2067-09
,,,,2067-10
,,,,2067-11
,,,,2067-12
,,,,2068-01
,,,,2068-02
,,,,2068-03
,,,,2068-04
,,,,2068-05
,,,,2068-06
,,,,2068-07
,,,,2068-08
,,,,2068-09
,,,,2068-10
,,,,2068-11
,,,,2068-12
,,,,2069-01
,,,,2069-02
,,,,2069-03
,,,,2069-04
,,,,2069-05
,,,,2069-06
,,,,2069-07
,,,,2069-08
,,,,2069-09
,,,,2069-10
,,,,2069-11
,,,,2069-12
,,,,2070-01
,,,,2070-02
,,,,2070-03
,,,,2070-04
,,,,2070-05
,,,,2070-06
,,,,2070-07
,,,,2070-08
,,,,2070-09
,,,,2070-10
,,,,2070-11
,,,,2070-12
,,,,2071-01
,,,,2071-02
,,,,2071-03
,,,,2071-04
,,,,2071-05
,,,,2071-06
,,,,2071-07
,,,,2071-08
,,,,2071-09
,,,,2071-10
,,,,2071-11
,,,,2071-12
,,,,2072-01
,,,,2072-02
,,,,2072-03
,,,,2072-04
,,,,2072-05
,,,,2072-06
,,,,2072-07
,,,,2072-08
,,,,2072-09
,,,,2072-10
,,,,2072-11
,,,,2072-12
,,,,2073-01
,,,,2073-02
,,,,2073-03
,,,,2073-04
,,,,2073-05
,,,,2073-06
,,,,2073-07
,,,,2073-08
,,,,2073-09
,,,,2073-10
,,,,2073-11
,,,,2073-12
,,,,2074-01
,,,,2074-02
,,,,2074-03
,,,,2074-04
,,,,2074-05
,,,,2074-06
,,,,2074-07
,,,,2074-08
,,,,2074-09
,,,,2074-10
,,,,2074-11
,,,,2074-12
,,,,2075-01
,,,,2075-02
,,,,2075-03
,,,,2075-04
,,,,2075-05
,,,,2075-06
,,,,2075-07
,,,,2075-08
,,,,2075-09
,,,,2075-10
,,,,2075-11
,,,,2075-12
,,,,2076-01
,,,,2076-02
,,,,2076-03
,,,,2076-04
,,,,2076-05
,,,,2076-06
,,,,2076-07
,,,,2076-08
,,,,2076-09
,,,,2076-10
,,,,2076-11
,,,,2076-12
,,,,2077-01
,,,,2077-02
,,,,2077-03
,,,,2077-04
,,,,2077-05
,,,,2077-06
,,,,2077-07
,,,,2077-08
,,,,2077-09
,,,,2077-10
,,,,2077-11
,,,,2077-12
,,,,2078-01
,,,,2078-02
,,,,2078-03
,,,,2078-04
,,,,2078-05
,,,,2078-06
,,,,2078-07
,,,,2078-08
,,,,2078-09
,,,,2078-10
,,,,2078-11
,,,,2078-12
,,,,2079-01
,,,,2079-02
,,,,2079-03
,,,,2079-04
,,,,2079-05
,,,,2079-06
,,,,2079-07
,,,,2079-08
,,,,2079-09
,,,,2079-10
,,,,2079-11
,,,,2079-12
,,,,2080-01
,,,,2080-02
,,,,2080-03
,,,,2080-04
,,,,2080-05
,,,,2080-06
,,,,2080-07
,,,,2080-08
,,,,2080-09
,,,,2080-10
,,,,2080-11
,,,,2080-12
,,,,2081-01
,,,,2081-02
,,,,2081-03
,,,,2081-04
,,,,2081-05
,,,,2081-06
,,,,2081-07
,,,,2081-08
,,,,2081-09
,,,,2081-10
,,,,2081-11
,,,,2081-12
